Unnamed: 0,Tweets,date tweets,Sentimen,remove_user,cleaning,case_folding,tokenisasi,normalisasi,stopword_removal,stemming,to_sentence
10,kaga ada hubungannya status tersangka sama kronologi kebakaran Ini mah cuma baru atas dasar trespassing doang ke bromo,2023-09-07 14:23:51+00:00,2,kaga ada hubungannya status tersangka sama kronologi kebakaran Ini mah cuma baru atas dasar trespassing doang ke bromo,kaga ada hubungannya status tersangka sama kronologi kebakaran Ini mah cuma baru atas dasar trespassing doang bromo,kaga ada hubungannya status tersangka sama kronologi kebakaran ini mah cuma baru atas dasar trespassing doang bromo,"['kaga', 'ada', 'hubungannya', 'status', 'tersangka', 'sama', 'kronologi', 'kebakaran', 'ini', 'mah', 'cuma', 'baru', 'atas', 'dasar', 'trespassing', 'doang', 'bromo']","['kagak', 'ada', 'hubungannya', 'status', 'tersangka', 'sama', 'kronologi', 'kebakaran', 'ini', 'mah', 'cuma', 'baru', 'atas', 'dasar', 'trespassing', 'doang', 'bromo']","['kagak', 'hubungannya', 'status', 'tersangka', 'kronologi', 'kebakaran', 'mah', 'dasar', 'trespassing', 'doang', 'bromo']","['kagak', 'hubung', 'status', 'sangka', 'kronologi', 'bakar', 'mah', 'dasar', 'trespassing', 'doang', 'bromo']",kagak hubung status sangka kronologi bakar mah dasar trespassing doang bromo
11,@alexjourneyID “nak dulu mamah papah pernah bikin bromo kebakaran”,2023-09-07 14:31:34+00:00,1, “nak dulu mamah papah pernah bikin bromo kebakaran”, nak dulu mamah papah pernah bikin bromo kebakaran , nak dulu mamah papah pernah bikin bromo kebakaran ,"['nak', 'dulu', 'mamah', 'papah', 'pernah', 'bikin', 'bromo', 'kebakaran']","['nak', 'dulu', 'mamah', 'papah', 'pernah', 'bikin', 'bromo', 'kebakaran']","['nak', 'mamah', 'papah', 'bikin', 'bromo', 'kebakaran']","['nak', 'mamah', 'papah', 'bikin', 'bromo', 'bakar']",nak mamah papah bikin bromo bakar
12,"baru tau ternyata penyebab kebakaran di Bromo adalah grgr ada orang prewed sambil bawa flare, sampe bbrp akses dan spot ditutup total.  dua kata deh buat kalian, GUOBLOK COK!",2023-09-07 14:38:45+00:00,1,"baru tau ternyata penyebab kebakaran di Bromo adalah grgr ada orang prewed sambil bawa flare, sampe bbrp akses dan spot ditutup total.  dua kata deh buat kalian, GUOBLOK COK!",baru tau ternyata penyebab kebakaran Bromo adalah grgr ada orang prewed sambil bawa flare sampe bbrp akses dan spot ditutup total dua kata deh buat kalian GUOBLOK COK ,baru tau ternyata penyebab kebakaran bromo adalah grgr ada orang prewed sambil bawa flare sampe bbrp akses dan spot ditutup total dua kata deh buat kalian guoblok cok ,"['baru', 'tau', 'ternyata', 'penyebab', 'kebakaran', 'bromo', 'adalah', 'grgr', 'ada', 'orang', 'prewed', 'sambil', 'bawa', 'flare', 'sampe', 'bbrp', 'akses', 'dan', 'spot', 'ditutup', 'total', 'dua', 'kata', 'deh', 'buat', 'kalian', 'guoblok', 'cok']","['baru', 'tau', 'ternyata', 'penyebab', 'kebakaran', 'bromo', 'adalah', 'gara-gara', 'ada', 'orang', 'prewed', 'sambil', 'bawa', 'flare', 'sampai', 'beberapa', 'akses', 'dan', 'spot', 'ditutup', 'total', 'dua', 'kata', 'deh', 'buat', 'kalian', 'guoblok', 'cok']","['tau', 'penyebab', 'kebakaran', 'bromo', 'gara-gara', 'orang', 'prewed', 'bawa', 'flare', 'akses', 'spot', 'ditutup', 'total', 'deh', 'guoblok', 'cok']","['tau', 'sebab', 'bakar', 'bromo', 'gara-gara', 'orang', 'prewed', 'bawa', 'flare', 'akses', 'spot', 'tutup', 'total', 'deh', 'guoblok', 'cok']",tau sebab bakar bromo gara-gara orang prewed bawa flare akses spot tutup total deh guoblok cok
13,"kalo yg prewed bikin bromo kebakaran minta maaf, janji ga maafin y ol. taik👎🏻",2023-09-07 14:41:19+00:00,1,"kalo yg prewed bikin bromo kebakaran minta maaf, janji ga maafin y ol. taik👎🏻",kalo prewed bikin bromo kebakaran minta maaf janji maafin taik ,kalo prewed bikin bromo kebakaran minta maaf janji maafin taik ,"['kalo', 'prewed', 'bikin', 'bromo', 'kebakaran', 'minta', 'maaf', 'janji', 'maafin', 'taik']","['kalo', 'prewed', 'bikin', 'bromo', 'kebakaran', 'meminta', 'maaf', 'janji', 'memaafi', 'tahi']","['prewed', 'bikin', 'bromo', 'kebakaran', 'maaf', 'janji', 'memaafi', 'tahi']","['prewed', 'bikin', 'bromo', 'bakar', 'maaf', 'janji', 'maaf', 'tahi']",prewed bikin bromo bakar maaf janji maaf tahi
14,"Udah bikin Savana di Bromo kebakaran, hasil fotonya jelek pula 😡",2023-09-07 14:45:08+00:00,1,"Udah bikin Savana di Bromo kebakaran, hasil fotonya jelek pula 😡",Udah bikin Savana Bromo kebakaran hasil fotonya jelek pula ,udah bikin savana bromo kebakaran hasil fotonya jelek pula ,"['udah', 'bikin', 'savana', 'bromo', 'kebakaran', 'hasil', 'fotonya', 'jelek', 'pula']","['sudah', 'bikin', 'savana', 'bromo', 'kebakaran', 'hasil', 'fotonya', 'jelek', 'pula']","['bikin', 'savana', 'bromo', 'kebakaran', 'hasil', 'fotonya', 'jelek']","['bikin', 'savana', 'bromo', 'bakar', 'hasil', 'foto', 'jelek']",bikin savana bromo bakar hasil foto jelek
15,nyesek banget liat bromo kebakaran,2023-09-07 14:45:21+00:00,1,nyesek banget liat bromo kebakaran,nyesek banget liat bromo kebakaran,nyesek banget liat bromo kebakaran,"['nyesek', 'banget', 'liat', 'bromo', 'kebakaran']","['menyesak', 'banget', 'lihat', 'bromo', 'kebakaran']","['menyesak', 'banget', 'lihat', 'bromo', 'kebakaran']","['sesak', 'banget', 'lihat', 'bromo', 'bakar']",sesak banget lihat bromo bakar
16,"Nak, dulu papa mama waktu mau nikah pernah bikin gunung Bromo kebakaran"" bukanlah cerita yg asyik untuk diperbincangkan di sore hari saat kumpul keluarga.""",2023-09-07 14:52:27+00:00,3,"Nak, dulu papa mama waktu mau nikah pernah bikin gunung Bromo kebakaran"" bukanlah cerita yg asyik untuk diperbincangkan di sore hari saat kumpul keluarga.""",Nak dulu papa mama waktu mau nikah pernah bikin gunung Bromo kebakaran bukanlah cerita asyik untuk diperbincangkan sore hari saat kumpul keluarga ,nak dulu papa mama waktu mau nikah pernah bikin gunung bromo kebakaran bukanlah cerita asyik untuk diperbincangkan sore hari saat kumpul keluarga ,"['nak', 'dulu', 'papa', 'mama', 'waktu', 'mau', 'nikah', 'pernah', 'bikin', 'gunung', 'bromo', 'kebakaran', 'bukanlah', 'cerita', 'asyik', 'untuk', 'diperbincangkan', 'sore', 'hari', 'saat', 'kumpul', 'keluarga']","['nak', 'dulu', 'papa', 'mama', 'waktu', 'mau', 'nikah', 'pernah', 'bikin', 'gunung', 'bromo', 'kebakaran', 'bukanlah', 'cerita', 'asyik', 'untuk', 'diperbincangkan', 'sore', 'hari', 'saat', 'kumpul', 'keluarga']","['nak', 'papa', 'mama', 'nikah', 'bikin', 'gunung', 'bromo', 'kebakaran', 'cerita', 'asyik', 'diperbincangkan', 'sore', 'kumpul', 'keluarga']","['nak', 'papa', 'mama', 'nikah', 'bikin', 'gunung', 'bromo', 'bakar', 'cerita', 'asyik', 'bincang', 'sore', 'kumpul', 'keluarga']",nak papa mama nikah bikin gunung bromo bakar cerita asyik bincang sore kumpul keluarga
17,bisa nggak tu pelaku kebakaran taman nasional bromo didenda 1 triliun untuk ganti rugi. ampe beranak pinak dah lu bayar ganti rugi ke negara,2023-09-07 14:58:19+00:00,1,bisa nggak tu pelaku kebakaran taman nasional bromo didenda 1 triliun untuk ganti rugi. ampe beranak pinak dah lu bayar ganti rugi ke negara,bisa nggak pelaku kebakaran taman nasional bromo didenda triliun untuk ganti rugi ampe beranak pinak dah bayar ganti rugi negara,bisa nggak pelaku kebakaran taman nasional bromo didenda triliun untuk ganti rugi ampe beranak pinak dah bayar ganti rugi negara,"['bisa', 'nggak', 'pelaku', 'kebakaran', 'taman', 'nasional', 'bromo', 'didenda', 'triliun', 'untuk', 'ganti', 'rugi', 'ampe', 'beranak', 'pinak', 'dah', 'bayar', 'ganti', 'rugi', 'negara']","['bisa', 'enggak', 'pelaku', 'kebakaran', 'taman', 'nasional', 'bromo', 'didenda', 'triliun', 'untuk', 'ganti', 'rugi', 'sampai', 'beranak', 'pinak', 'deh', 'bayar', 'ganti', 'rugi', 'negara']","['pelaku', 'kebakaran', 'taman', 'nasional', 'bromo', 'didenda', 'triliun', 'ganti', 'rugi', 'beranak', 'pinak', 'deh', 'bayar', 'ganti', 'rugi', 'negara']","['laku', 'bakar', 'taman', 'nasional', 'bromo', 'denda', 'triliun', 'ganti', 'rugi', 'anak', 'pinak', 'deh', 'bayar', 'ganti', 'rugi', 'negara']",laku bakar taman nasional bromo denda triliun ganti rugi anak pinak deh bayar ganti rugi negara
18,Fotografer flare jadi fotografer peler yg bikin bromo kebakaran,2023-09-07 15:12:23+00:00,1,Fotografer flare jadi fotografer peler yg bikin bromo kebakaran,Fotografer flare jadi fotografer peler bikin bromo kebakaran,fotografer flare jadi fotografer peler bikin bromo kebakaran,"['fotografer', 'flare', 'jadi', 'fotografer', 'peler', 'bikin', 'bromo', 'kebakaran']","['fotografer', 'flare', 'jadi', 'fotografer', 'peler', 'bikin', 'bromo', 'kebakaran']","['fotografer', 'flare', 'fotografer', 'peler', 'bikin', 'bromo', 'kebakaran']","['fotografer', 'flare', 'fotografer', 'peler', 'bikin', 'bromo', 'bakar']",fotografer flare fotografer peler bikin bromo bakar
19,bromo kebakaran ternyata ulah yg prewedding?! WHAT?!,2023-09-07 15:13:01+00:00,2,bromo kebakaran ternyata ulah yg prewedding?! WHAT?!,bromo kebakaran ternyata ulah prewedding WHAT ,bromo kebakaran ternyata ulah prewedding what ,"['bromo', 'kebakaran', 'ternyata', 'ulah', 'prewedding', 'what']","['bromo', 'kebakaran', 'ternyata', 'ulah', 'prewedding', 'what']","['bromo', 'kebakaran', 'ulah', 'prewedding', 'what']","['bromo', 'bakar', 'ulah', 'prewedding', 'what']",bromo bakar ulah prewedding what
